Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
566,"[0.0, 1.3055960878233153, 169.26848171788274, 66.8461520394037, 515.1132336090648, 581.7546045694695, 377.98454462439355, 245.9503508338957]","[0.0, 48664.788577526255, 459806.2469792625, 460425.1419055354, 1374707.7854694212, 1925815.8531936733, 574730.277887649, 1592310.1800841163]","[15, 15, 8, 13, 19, 18, 24, 15]","[138.41717398269785, 139.13790326909657, 276.5685019206146, 280.58021216713576, 139.41480206540447, 139.54239569313594, 139.61755992458927, 139.61755992458927]",18565.0,139.61755992458927
567,"[0.0, 1.8057894245606703, 191.17754224522247, 125.53273339187999, 302.42469558341816, 674.2786594485196, 52.53577028297976, 393.61099847349146]","[0.0, 67054.37870221137, 479380.5646739157, 474870.5561418539, 1419600.1640229411, 1975307.6282436608, 626778.4264678617, 1592679.3289407084]","[19, 16, 14, 17, 18, 18, 13, 16]","[138.94398284642187, 139.6702230843841, 278.94963409384417, 280.3677663601947, 139.95680345572353, 140.07782101167317, 140.16114205375007, 140.16872160934457]",18492.0,140.16872160934457
568,"[0.0, 1.5844761872706064, 222.77418293094905, 121.70261765026319, 392.1366611030695, 315.5813578392407, 252.54303842697314, 193.90290365955647]","[0.0, 60138.79368785586, 457886.9640687654, 457861.4294486685, 1407662.2937499993, 1986036.72876461, 576086.4963272286, 1591861.4155957887]","[17, 10, 18, 11, 18, 12, 20, 10]","[135.90604026845637, 136.6223908918406, 275.07163323782237, 272.1545569088618, 136.9472182596291, 137.06308497699752, 137.10658555937582, 137.11383834109182]",18904.0,137.11383834109182
569,"[0.0, 10.353496265796458, 420.2802557443136, 234.52592335153497, 253.40742740770074, 241.25722174614785, 223.47599969243035, 273.4149980526386]","[0.0, 49826.54529053384, 456726.91974821396, 464185.6913402213, 1431762.5079056532, 2009878.8316622647, 593546.8006044349, 1584564.7403887305]","[16, 13, 22, 15, 19, 11, 14, 13]","[136.33494634967388, 137.01236917221695, 275.9795570698467, 272.66989269934777, 137.2954075957413, 137.41186449663363, 137.48475043759615, 137.49933690520396]",18851.0,137.49933690520396
570,"[0.0, 1.1936985925507433, 150.95614384601862, 200.02662680069804, 288.0814063677392, 536.768735421053, 122.43669370155713, 297.6724364506288]","[0.0, 45527.66431988535, 471497.82439056947, 468133.91592063196, 1432599.2249415298, 1989157.4982948457, 570024.4191074171, 1568033.5001379363]","[14, 15, 16, 11, 13, 13, 13, 15]","[135.32421426333926, 135.97733711048159, 273.2447817836812, 270.7898035938153, 136.01301359080654, 136.0415682569674, 136.0772784544309, 136.08442274373917]",19047.0,136.08442274373917
571,"[0.0, 68.36465080083703, 276.68411718624196, 190.7457250173351, 250.19526967556578, 504.0275843492418, 260.94623163450325, 396.64637796505406]","[0.0, 56438.54580600212, 447732.8567654025, 448445.85867729766, 1397677.237859906, 1957719.507807901, 571753.4096282341, 1582202.2461745685]","[19, 7, 18, 13, 17, 15, 22, 14]","[136.80266005172322, 137.47745836427282, 276.3326226012793, 273.99577167019027, 137.66730401529637, 137.75510204081633, 137.82835265340847, 137.84301212507978]",18804.0,137.84301212507978
572,"[0.0, 1.279481494537099, 526.2116262241897, 381.9037163180946, 309.3789908100071, 319.3192558573153, 131.40361331306138, 221.7642401343394]","[0.0, 49128.25094574098, 461102.1402570843, 471515.069435501, 1440510.7646964067, 2025396.9942544154, 583323.4015961123, 1588349.6146298228]","[14, 14, 15, 13, 14, 13, 15, 8]","[134.3910405972935, 135.06331092699702, 270.28154327424403, 270.4225352112676, 135.24654317766763, 135.31008561286282, 135.35248041775458, 135.359548801504]",19149.0,135.359548801504
573,"[0.0, 0.9613342774610015, 242.55654964933558, 317.04683386569815, 324.2191407109967, 887.257162951394, 76.85743196212508, 412.1134114027409]","[0.0, 36038.49939345803, 468825.4372696907, 468990.788640772, 1398259.8397875712, 1948093.8188565506, 603937.7585735631, 1589270.3651597844]","[11, 19, 12, 12, 14, 23, 18, 13]","[137.6526818906001, 138.3580655492687, 276.6865926558497, 277.2489036260563, 138.6096256684492, 138.74317524890267, 138.8397878836574, 138.85466330958377]",18667.0,138.85466330958377
574,"[0.0, 1.1593203384104322, 129.27999794475164, 284.68482425033693, 293.0693978821598, 225.73440115930097, 82.70166591908846, 480.89597527741]","[0.0, 43945.19674778584, 483432.39933055645, 481008.0375072735, 1426661.335132018, 2006325.7104836688, 569690.947139149, 1560362.7076812214]","[13, 19, 8, 14, 16, 8, 15, 18]","[136.1344537815126, 136.83154727339914, 272.52654820733886, 275.51020408163265, 137.16462930623908, 137.30995391216825, 137.40458015267177, 137.4191496129785]",18862.0,137.4191496129785
575,"[0.0, 14.344263052810875, 413.7390833667643, 100.43490116493759, 442.10183441342633, 328.0220827676023, 80.77227592353795, 452.54070103840417]","[0.0, 58464.60731232754, 454612.4900854337, 464457.53710049484, 1445978.9231494062, 2017329.9163477274, 584637.8922936139, 1566560.2218980722]","[18, 11, 23, 15, 14, 12, 9, 15]","[134.89461358313818, 135.61450321770522, 272.52654820733886, 270.39432505737534, 135.78500707213578, 135.8490566037736, 135.89891469616737, 135.90604026845637]",19072.0,135.90604026845637
