Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
28,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[52581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[51.275964391691396, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
29,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[51981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[50.37900874635569, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
30,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[51381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[49.51289398280802, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
31,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[50781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[48.67605633802817, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
32,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[50181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[47.86703601108033, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
33,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[49581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[47.084468664850135, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
34,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[48981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[46.32707774798928, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
35,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[48381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[45.593667546174146, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
36,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[47781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[44.883116883116884, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
37,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[47181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[44.19437340153453, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
38,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[46581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[43.5264483627204, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
39,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[45981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[42.878411910669975, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
40,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[45381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[42.24938875305624, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
41,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[44781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[41.63855421686747, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
42,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[44181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[41.04513064133017, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
43,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[43581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[40.468384074941454, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
44,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[42981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[39.90762124711316, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
45,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[42381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[39.3621867881549, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
46,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[41781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[38.831460674157306, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
47,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[41181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[38.31485587583148, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
48,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[40581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[37.81181619256017, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
49,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[39981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[37.32181425485961, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
50,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[39381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[36.84434968017057, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
51,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[38781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[36.37894736842105, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
52,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[38181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[35.92515592515593, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
53,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[37581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[35.48254620123203, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
54,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[36981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[35.05070993914807, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
55,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[36381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[34.62925851703407, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
56,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[35781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[34.21782178217822, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
57,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[35181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[33.816046966731896, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
58,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[34581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[33.42359767891683, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
59,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[33981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[33.040152963671126, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
60,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[33381.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[32.66540642722117, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
61,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[32781.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[32.299065420560744, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
62,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[32181.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[31.940850277264325, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
63,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[31581.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[31.590493601462523, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
64,"[0.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[30981.0, 6030.0, 3630.0, 84810.0, 77340.0, 80700.0, 81550.0]","[0, 0, 0, 0, 0, 0, 0]","[31.247739602169982, 161.49532710280374, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
