Sim Instant,Robot State,Machines State,Machine CT,Machines Breakdowns,Machines Idle Time,Buffers State
72641.31384118216,"('M5', 'M6')","[False, False, True, False, False, False, False]","[1911.6135221363725, 1963.2787524643827, 2017.814273366171, 2075.4661097480616, 2136.5092306230044, 2201.2519345812775, 2201.2519345812775]","[1, 1, 0, 0, 0, 1, 1]","[67409.67390911395, 62476.97491712191, 37056.89075474135, 71970.16475754428, 69212.59452118087, 65850.12167034787, 64942.71631805178]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
72801.91032869577,"('M6', 'M7')","[False, False, True, False, False, False, False]","[1915.8397454919939, 1967.6191980728586, 2022.2752869082158, 2080.054580819879, 2141.2326567263462, 2141.2326567263462, 2206.1184948089626]","[1, 1, 0, 0, 0, 1, 1]","[67409.67390911395, 62476.97491712191, 37056.89075474135, 71970.16475754428, 69212.59452118087, 66933.51119677292, 64942.71631805178]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
72901.91032869577,"('M7', 'OutputStock')","[False, False, True, False, False, False, False]","[1918.4713244393624, 1970.3219007755613, 2025.0530646859936, 2082.911723677022, 2144.1738331969345, 2144.1738331969345, 2144.1738331969345]","[1, 1, 0, 0, 0, 1, 1]","[67409.67390911395, 62476.97491712191, 37056.89075474135, 71970.16475754428, 69212.59452118087, 66933.51119677292, 66035.86690135005]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
73001.91032869577,"('InputStock', 'M1')","[False, False, True, False, False, False, False]","[1921.1029033867308, 1973.024603478264, 2027.8308424637714, 2085.7688665341648, 2147.115009667523, 2147.115009667523, 2147.115009667523]","[1, 1, 0, 0, 0, 1, 1]","[67409.67390911395, 62476.97491712191, 37056.89075474135, 71970.16475754428, 69212.59452118087, 66933.51119677292, 66035.86690135005]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
73122.7708882021,"('M1', 'M2')","[False, False, True, False, False, False, False]","[1874.9428432872332, 1976.2911050865432, 2031.188080227836, 2089.222025377203, 2150.669732005944, 2150.669732005944, 2150.669732005944]","[1, 1, 0, 0, 0, 1, 1]","[68532.69922451717, 62476.97491712191, 37056.89075474135, 71970.16475754428, 69212.59452118087, 66933.51119677292, 66035.86690135005]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
73373.72320307417,"('M2', 'M3')","[False, False, False, False, False, False, False]","[1881.377518027543, 1930.8874527124783, 1983.0736000830857, 2096.392091516405, 2158.050682443358, 2158.050682443358, 2158.050682443358]","[1, 1, 0, 0, 0, 1, 1]","[68532.69922451717, 63469.87074318983, 37200.79032726872, 71970.16475754428, 69212.59452118087, 66933.51119677292, 66035.86690135005]","[(0, 0), (0, 0), (0, 1), (0, 0), (0, 0), (0, 0), (0, 1)]"
73473.72320307417,"('M3', 'M4')","[False, False, True, False, False, False, False]","[1883.9416205916455, 1933.5190316598466, 1985.7763027857884, 2099.249234373548, 2160.991858913946, 2160.991858913946, 2160.991858913946]","[1, 1, 0, 0, 0, 1, 1]","[68532.69922451717, 63469.87074318983, 37200.79032726872, 71970.16475754428, 69212.59452118087, 66933.51119677292, 66035.86690135005]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
73584.50240977088,"('M4', 'M5')","[False, False, True, False, False, False, False]","[1886.7821130710483, 1936.434273941339, 1988.770335399213, 2044.0139558269689, 2164.2500708756143, 2164.2500708756143, 2164.2500708756143]","[1, 1, 0, 0, 0, 1, 1]","[68532.69922451717, 63469.87074318983, 37200.79032726872, 73103.29804618427, 69212.59452118087, 66933.51119677292, 66035.86690135005]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
73785.42104366924,"('M5', 'M6')","[False, False, True, False, False, False, False]","[1891.933872914596, 1941.7216064123484, 1994.2005687478172, 2049.5950289908124, 2108.1548869619783, 2170.1594424608597, 2170.1594424608597]","[1, 1, 0, 0, 0, 1, 1]","[68532.69922451717, 63469.87074318983, 37200.79032726872, 73103.29804618427, 70255.7830897696, 66933.51119677292, 66035.86690135005]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
73946.45205012745,"('M6', 'M7')","[False, False, True, False, False, False, False]","[1896.0628730801911, 1945.9592644770382, 1998.5527581115527, 2054.0681125035403, 2112.7557728607844, 2112.7557728607844, 2174.8956485331605]","[1, 1, 0, 0, 0, 1, 1]","[68532.69922451717, 63469.87074318983, 37200.79032726872, 73103.29804618427, 70255.7830897696, 68017.02191174639, 66035.86690135005]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
