Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
11,"[4242.7589797182045, 116.25057373080993, 2890.922314672365, 3901.323858909, 3609.2452043552953, 4528.283883344368, 2271.1979946013253]","[154897.66179507825, 43923.320980749144, 2245628.576473796, 2195465.022809567, 2217823.3867199835, 2184332.1303412495, 2165973.346264099]","[14, 15, 13, 17, 16, 19, 12]","[9564.575645756458, 14320.441988950277, 933.0453563714902, 946.6764061358656, 962.852897473997, 979.9621928166351, 1001.1587485515643]",2559.0,1012.8956623681125
12,"[1722.2469142052144, 88.39962656399307, 2971.84574122203, 3465.0238312887423, 3535.40941303832, 3551.257206989465, 4934.2683826453085]","[155223.10905391863, 32531.062575549448, 2230275.3954761038, 2220858.931184986, 2230019.196208166, 2199930.5166704594, 2047821.646262232]","[15, 9, 12, 13, 17, 14, 20]","[9564.575645756458, 14480.446927374302, 920.7815275310835, 935.4023818116203, 952.9411764705883, 968.2480388494583, 987.052551408987]",2596.0,998.4591679506934
13,"[4177.458338925423, 2780.263631074848, 4231.343266366915, 1943.2472837327932, 2100.180675072682, 3150.114505501331, 4970.1373159221175]","[165195.36928871425, 37083.88097612467, 2199268.6764728143, 2273234.3433134034, 2276911.5254760482, 2150362.2884782925, 2098059.0361906784]","[10, 16, 22, 9, 7, 16, 18]","[9564.575645756458, 14400.0, 923.4057712860705, 933.3813467770976, 945.2954048140044, 962.1380846325167, 984.8024316109422]",2597.0,998.0747015787447
14,"[281.8399414166445, 79.60986691962013, 3456.549325897475, 3179.245432887158, 3490.761243319119, 1556.5626170808657, 3619.4198297270814]","[146217.21189032978, 29694.480361018308, 2198470.2969542057, 2234948.5941536278, 2226210.4404475014, 2266891.0120298266, 2083677.390936201]","[14, 12, 15, 13, 14, 8, 15]","[9564.575645756458, 14400.0, 907.563025210084, 921.1087420042644, 935.7400722021661, 949.798460974716, 970.0598802395209]",2634.0,984.0546697038725
15,"[2382.203798851195, 67.87980430261476, 3644.606535702018, 4301.5739536890105, 4879.578972987774, 4187.291635024095, 3140.8070486493257]","[128581.8901348687, 25726.445830690995, 2187154.158445532, 2236153.9931786843, 2182987.427373442, 2207724.80110724, 2210805.975454229]","[12, 18, 16, 17, 20, 14, 11]","[9564.575645756458, 14400.0, 919.1489361702128, 934.0540540540541, 952.2409992652462, 969.6969696969697, 988.558352402746]",2590.0,1000.7722007722008
16,"[9014.594931310123, 2858.983973059645, 5250.005781007682, 5449.692545843927, 2876.453946223167, 4158.631848364547, 2896.956020112858]","[138619.90325035338, 42362.471135526466, 2189203.000225225, 2205585.099742558, 2226360.301747527, 2167130.684135321, 2148628.3416415113]","[22, 16, 23, 19, 13, 17, 13]","[9564.575645756458, 14480.446927374302, 927.3703041144902, 944.950783813343, 961.0678531701891, 975.1693002257337, 995.0095969289828]",2570.0,1008.5603112840467
17,"[3575.155492892399, 3209.0613255468415, 2118.2919373644904, 5573.645026862739, 2838.2215681459447, 4448.452057334716, 4006.6270008961956]","[115388.20924490274, 25528.768458977356, 2223127.9587424216, 2211453.5733076013, 2248481.191541393, 2206805.2557415976, 2128822.798321263]","[16, 16, 10, 19, 10, 19, 15]","[9564.575645756458, 14400.0, 905.3440447083478, 919.1489361702128, 936.4161849710982, 955.3999262808699, 977.3755656108598]",2619.0,989.6907216494845
18,"[5513.414646221126, 101.35245662242309, 4163.279253184261, 2543.5639301029214, 1977.4552638177522, 3226.487201371001, 6052.154630904792]","[151063.40540286736, 37601.761406918966, 2192230.4421327617, 2234413.2894113734, 2272736.8501245086, 2238267.3487631637, 2034292.339048778]","[18, 12, 20, 16, 8, 12, 22]","[9564.575645756458, 14480.446927374302, 916.2248144220573, 929.6987087517934, 942.5454545454545, 958.5798816568048, 979.9621928166351]",2610.0,993.1034482758621
19,"[246.874626517159, 84.91042731154701, 3335.835844455167, 2742.5958206772552, 3300.185634150167, 1644.3256921328898, 2765.960520624098]","[129822.26880699248, 31164.833624131854, 2224835.05783678, 2240890.0687074773, 2247928.6893624347, 2272355.474125121, 2181308.0623162743]","[17, 8, 13, 11, 13, 7, 9]","[9564.575645756458, 14400.0, 897.5069252077562, 912.6760563380282, 929.6987087517934, 943.918426802622, 960.3556872915894]",2671.0,970.4230625233995
20,"[5355.857639984843, 96.48275535415023, 3315.760329391999, 2626.8489881201726, 2280.6580917750675, 4384.174924886132, 2663.4265916426757]","[144358.6906909221, 35926.79920281926, 2188902.5832230095, 2242730.5704685855, 2262318.806647004, 2228397.057050884, 2165268.042615826]","[14, 17, 15, 11, 10, 18, 13]","[9564.575645756458, 14480.446927374302, 914.6083274523642, 929.0322580645161, 943.918426802622, 959.2894152479645, 979.2217604835663]",2615.0,991.2045889101338
