Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
72,"[0.0, 6326.534567574974, 4151.6620164341475, 84972.06209788247, 111533.61462811944, 100341.31808060671, 81871.07418730434]","[23631.0, 6326.534567574974, 4151.662016434144, 84972.06209788249, 73653.27526332963, 77321.01717185674, 81871.07418730434]","[0, 0, 1, 0, 1, 1, 0]","[28.79040319893369, 163.0188679245283, 1107.6923076923076, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366]",82.0,1053.658536585366
73,"[0.0, 5736.238681494735, 3141.3290667489564, 84951.73821447302, 125690.94702567597, 116503.96067959178, 78960.81013022893]","[20231.0, 5736.238681494731, 3141.3290667489564, 84951.73821447302, 69811.6126512432, 76639.47767701688, 78960.81013022893]","[1, 1, 1, 0, 2, 1, 1]","[28.896321070234112, 169.41176470588235, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366, 1080.0]",80.0,1080.0
74,"[0.0, 5163.007197595285, 4160.918063837027, 118441.40988350342, 181984.0979730592, 81232.38459062405, 81133.46025575664]","[23193.0, 5163.007197595285, 4160.918063837031, 81561.05433087141, 69878.01408095667, 80291.8487854172, 81133.46025575661]","[0, 1, 0, 1, 2, 0, 0]","[28.590337524818, 168.09338521400778, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1028.5714285714287, 1016.4705882352941]",85.0,1016.4705882352941
75,"[0.0, 8914.829035492166, 6317.617465313768, 85517.00670312461, 74544.25128757398, 80567.54847123838, 81387.94701166441]","[18972.0, 8914.829035492163, 6317.617465313764, 85517.00670312463, 72744.78755049284, 80567.54847123836, 81387.9470116644]","[1, 0, 0, 0, 1, 0, 0]","[28.327868852459016, 168.42105263157896, 1080.0, 1066.6666666666667, 1066.6666666666667, 1053.658536585366, 1040.9638554216867]",83.0,1040.9638554216867
76,"[0.0, 6242.901084990579, 3667.744043607312, 84845.3535915624, 131196.8495932836, 136277.94979669707, 81787.61344133184]","[17644.0, 6242.901084990583, 3667.7440436073157, 84845.3535915624, 73482.16683361912, 76560.8808789111, 81787.61344133184]","[1, 0, 0, 0, 1, 1, 0]","[27.71007055805003, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1053.658536585366, 1066.6666666666667, 1053.658536585366]",82.0,1053.658536585366
77,"[0.0, 6243.4663172855035, 3664.6953277349057, 84845.32210393372, 198581.13110058152, 115212.70562667977, 81586.08233096777]","[20610.0, 6243.4663172855035, 3664.695327734902, 84845.32210393372, 69447.33245886372, 76820.7345531348, 81586.08233096777]","[0, 0, 0, 0, 2, 1, 0]","[27.44599745870394, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
78,"[0.0, 6330.774092004405, 4152.777144466199, 147082.2605815468, 84825.58968891509, 118484.10459848857, 81873.17130516566]","[19860.0, 6330.774092004409, 4152.777144466199, 81278.09581244018, 73816.37287418189, 77008.26113501436, 81873.17130516566]","[0, 0, 1, 1, 1, 1, 0]","[27.161270040867652, 163.0188679245283, 1107.6923076923076, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366]",82.0,1053.658536585366
79,"[0.0, 6244.061409180555, 3665.866195604489, 84843.373894925, 148593.15830030426, 80733.32300714435, 81583.85155444946]","[19849.0, 6244.061409180551, 3665.866195604489, 84843.37389492498, 68862.11672949669, 80733.32300714435, 81583.85155444946]","[0, 1, 0, 0, 2, 0, 0]","[27.1356783919598, 170.41420118343194, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
80,"[0.0, 6245.074753020828, 3665.8701852299564, 84843.03330291947, 77373.97843842334, 80737.06429076352, 81586.2383263562]","[18733.0, 6245.074753020828, 3665.8701852299564, 84843.03330291947, 77373.97843842334, 80737.06429076352, 81586.2383263562]","[0, 0, 0, 0, 0, 0, 0]","[26.683137739345273, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
81,"[0.0, 5764.945352407478, 3160.718553471823, 85332.16222346397, 77770.84494260949, 81170.47496197885, 81081.28948920131]","[15403.0, 5764.945352407474, 3160.718553471823, 85332.16222346394, 77770.84494260947, 80231.1021431574, 81081.2894892013]","[1, 1, 0, 0, 0, 0, 0]","[26.807322370462302, 169.41176470588235, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
